epoch,avg_reward,option 0 dur,option 1 dur,option 2 dur,option 0 std,option 1 std,option 2 std,option 0 term,option 1 term,option 2 term,option 0 adv,option 1 adv,option 2 adv
1,5.042501194109061,547,442,1059,1.0,1.0,1.0,0.4979151785373688,0.5737467408180237,0.5199132561683655,1.4490543603897095,0.5761776566505432,-0.2397841513156891
2,5.331335867554459,509,750,789,0.9817327260971069,0.9550690650939941,1.003699541091919,0.6955419778823853,0.4383474290370941,0.5046606063842773,0.50640469789505,0.1324646770954132,-0.09377128630876541
3,6.0432941921334375,435,908,705,0.9496344327926636,0.8660710453987122,0.926411509513855,0.6288395524024963,0.43275707960128784,0.543689489364624,0.3243793547153473,0.04411062225699425,-0.2168126255273819
4,6.988738637637551,403,962,683,0.9152470827102661,0.7985900044441223,0.8388612270355225,0.6022500991821289,0.30820807814598083,0.6388792991638184,0.15615834295749664,0.18437282741069794,-0.11580707877874374
5,7.398403711259923,352,1208,488,0.8884423971176147,0.759870707988739,0.7751758694648743,0.499144971370697,0.22601909935474396,0.6998531222343445,0.09417635947465897,0.13740935921669006,-0.08463316410779953
6,9.301591768865912,403,1239,406,0.8388136029243469,0.69785475730896,0.7132210731506348,0.37954089045524597,0.12563660740852356,0.7132847905158997,0.36668670177459717,0.2680074870586395,-0.20234480500221252
7,10.402002393380638,400,1370,278,0.7962591648101807,0.6490297317504883,0.6702619791030884,0.21093876659870148,0.11048682779073715,0.7307837009429932,0.19670262932777405,0.45465704798698425,-0.2853987216949463
8,10.731659723120988,335,1514,199,0.7681302428245544,0.599834680557251,0.6495038866996765,0.1583014726638794,0.07834344357252121,0.7404449582099915,-0.15103507041931152,0.2937454581260681,-0.4311981797218323
9,13.70531888447952,492,1408,148,0.734461784362793,0.5535050630569458,0.6277069449424744,0.12464635074138641,0.06078898906707764,0.8179380893707275,0.42084652185440063,0.6383330225944519,0.0
10,15.659792203420874,228,1739,81,0.6996830701828003,0.5236927270889282,0.6272789835929871,0.08710609376430511,0.030794242396950722,0.8323621153831482,0.12044919282197952,1.0839228630065918,-1.0961384773254395
11,16.93882484137815,357,1621,70,0.6789016127586365,0.49754250049591064,0.590766429901123,0.08365903794765472,0.025263343006372452,0.868801474571228,-0.3882841169834137,1.1729789972305298,0.0
12,18.790643321373604,262,1719,67,0.6688823103904724,0.47197583317756653,0.5895707011222839,0.07835134118795395,0.0217108316719532,0.8736430406570435,-0.7740139365196228,1.4099843502044678,0.0
