epoch,avg_reward,option 0 dur,option 1 dur,option 0 std,option 1 std,option 0 term,option 1 term,option 0 adv,option 1 adv
1,0.0289995303488319,1332,716,1.0,1.0,0.3470253348350525,0.42274972796440125,-0.6961944699287415,0.23966403305530548
2,-0.0326867007959322,978,1070,0.990298867225647,1.0104405879974365,0.5312502980232239,0.4906909167766571,0.02569703944027424,0.030144911259412766
3,0.03345371506287825,1042,1006,0.985885500907898,1.0286264419555664,0.5133904814720154,0.4526589810848236,0.02100400999188423,0.007291367743164301
4,0.14287094279182427,1259,789,0.974555492401123,1.0287989377975464,0.5123854279518127,0.48149365186691284,0.025789782404899597,0.0007126811542548239
5,0.2162602290832017,1345,703,0.9686775207519531,1.021829605102539,0.49741071462631226,0.46883153915405273,0.00789058580994606,0.022104976698756218
